Classroom,Age,Gender,Self-analaysis,Interactions,Victim,Bully,Observer,Pain,Intimidation,Humiliation,Ignore,Digital,Provoke,PassiveObserve,SituationGeneration,ActiveObserve,Behaviour,Feeling,Thinking
2º ESO,14 años,Femenino,8,8,0,0,0,5,0,0,2,0,1,0,0,3.0,1,0,0
2º ESO,13 años,Femenino,10,10,0,0,1,5,2,4,6,3,1,7,0,5.0,1,0,0
2º ESO,14 años,Femenino,2,2,0,0,0,2,1,3,4,3,2,5,1,5.0,3,4,2
2º ESO,14 años,Femenino,6,5,0,0,0,0,0,3,2,0,1,0,1,4.0,4,2,1
2º ESO,14 años,Masculino,10,10,0,0,0,5,0,0,0,2,8,9,9,9.0,1,0,0
2º ESO,13 años,Femenino,6,9,0,0,1,3,1,4,2,1,4,1,0,5.0,1,1,1
2º ESO,14 años,Femenino,5,6,0,0,0,4,0,4,6,4,1,4,2,3.0,1,1,2
2º ESO,14 años,Femenino,1,8,0,0,1,4,0,5,6,0,1,4,2,4.0,1,1,2
2º ESO,13 años,Masculino,7,10,0,0,1,3,0,4,3,4,2,4,3,4.0,1,1,2
2º ESO,14 años,Masculino,10,10,0,0,1,5,2,3,4,1,2,6,1,1.0,3,1,1
2º ESO,13 años,Femenino,6,4,0,0,0,4,2,4,6,5,3,4,3,4.0,1,1,2
2º ESO,13 años,Masculino,10,10,0,0,0,0,1,2,2,0,0,0,1,0.0,0,0,0
2º ESO,13 años,Masculino,5,5,0,0,0,2,1,4,3,1,0,1,0,1.0,1,2,2
2º ESO,13 años,Femenino,9,8,0,0,1,4,0,1,4,4,6,2,3,3.0,3,0,1
2º ESO,14 años,Femenino,9,9,0,0,0,5,0,1,3,2,1,0,0,0.0,1,0,0
2º ESO,13 años,Femenino,5,7,0,0,1,5,0,1,3,1,0,0,1,4.0,1,0,1
2º ESO,14 años,Masculino,9,10,0,0,0,1,0,2,4,1,1,0,0,0.0,0,0,0
2º ESO,14 años,Femenino,9,10,0,0,1,5,0,5,5,1,1,0,0,1.0,1,0,0
2º ESO,13 años,Femenino,3,7,0,0,1,4,2,3,4,1,2,4,2,3.0,3,1,0
2º ESO,15 años,Masculino,8,9,0,0,1,5,1,4,5,4,4,6,1,4.0,1,0,1
2º ESO,13 años,Masculino,10,10,0,0,1,3,0,3,3,2,1,0,0,0.0,1,0,1
2º ESO,14 años,Femenino,1,1,0,0,1,4,1,4,5,3,5,4,2,4.0,4,1,4
2º ESO,13 años,Masculino,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0
2º ESO,14 años,Femenino,9,9,0,0,0,5,0,1,2,1,0,0,0,0.0,0,0,0
2º ESO,13 años,Femenino,1,7,0,0,0,3,2,3,4,5,0,1,1,4.0,3,4,4
2º ESO,14 años,Masculino,10,10,0,0,0,5,1,5,5,0,1,5,0,4.0,1,0,0
2º ESO,14 años,Masculino,9,8,0,0,1,5,2,4,5,6,1,7,9,9.0,6,4,5
2º ESO,15 años,Masculino,8,9,0,0,0,3,0,3,4,3,4,2,2,5.0,0,0,1
2º ESO,14 años,Masculino,10,10,0,0,0,4,1,0,2,1,2,2,0,1.0,0,0,0
2º ESO,14 años,Masculino,6,7,0,0,0,1,0,1,1,0,0,0,0,2.0,1,1,1
2º ESO,14 años,Masculino,8,9,0,0,1,5,2,5,5,3,3,5,0,4.0,1,0,0
2º ESO,14 años,Masculino,8,7,0,0,0,2,0,1,2,0,0,1,0,0.0,0,0,0
2º ESO,14 años,Masculino,8,7,0,1,1,4,2,3,6,6,5,2,6,4.0,1,2,2
2º ESO,15 años,Masculino,6,8,0,0,1,3,1,1,2,2,1,0,3,4.0,2,3,2
2º ESO,15 años,Masculino,1,1,0,0,1,5,2,3,6,7,1,7,4,6.0,2,3,2
3º ESO,15 años,Masculino,5,7,0,0,0,3,0,3,3,1,0,4,0,0.0,0,1,0
3º ESO,15 años,Femenino,9,9,0,0,1,4,1,5,6,3,1,8,0,4.0,2,0,0
3º ESO,15 años,Femenino,6,9,1,0,1,4,0,4,3,2,0,5,0,3.0,1,0,0
3º ESO,14 años,Masculino,10,10,0,0,0,5,2,5,4,7,6,0,0,0.0,0,0,0
3º ESO,14 años,Masculino,10,10,0,0,0,5,2,1,6,1,1,2,1,3.0,1,0,0
3º ESO,14 años,Femenino,9,6,1,0,1,5,2,5,2,1,2,8,4,2.0,2,2,2
3º ESO,14 años,Femenino,4,10,0,0,1,2,1,1,2,1,1,5,3,5.0,1,1,2
3º ESO,15 años,Masculino,10,10,0,0,1,3,0,2,4,1,2,2,0,1.0,0,0,1
3º ESO,14 años,Otro,10,10,0,0,1,3,1,3,4,6,5,5,7,6.0,2,2,3
3º ESO,15 años,Femenino,7,10,1,0,1,5,2,5,6,3,1,8,0,4.0,1,0,0
3º ESO,15 años,Masculino,5,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3º ESO,12 años,Otro,10,10,1,1,1,6,2,5,6,13,8,9,9,9.0,6,4,5
3º ESO,15 años,Masculino,8,8,0,0,0,4,1,4,1,4,0,0,0,3.0,0,0,1
3º ESO,15 años,Masculino,6,8,1,1,1,2,2,4,1,6,3,3,3,5.0,2,0,1
3º ESO,15 años,Femenino,7,8,0,0,1,3,0,3,2,0,1,5,1,4.0,0,0,0
3º ESO,16 años,Otro,10,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3º ESO,15 años,Femenino,1,7,1,0,1,5,2,4,5,7,2,6,2,4.0,3,4,3
3º ESO,14 años,Masculino,10,10,0,0,1,5,0,4,2,2,1,5,1,4.0,0,0,0
3º ESO,15 años,Femenino,2,1,0,0,1,2,2,3,5,4,4,4,1,3.0,3,1,4
3º ESO,14 años,Masculino,7,9,0,0,1,3,0,1,1,4,2,1,2,3.0,1,0,1
3º ESO,14 años,Masculino,8,10,0,0,1,3,0,3,3,0,1,2,2,5.0,0,0,1
3º ESO,15 años,Femenino,2,4,1,0,1,4,1,5,6,4,2,6,1,5.0,5,4,5
3º ESO,14 años,Masculino,8,8,0,0,1,5,1,5,3,5,2,1,2,5.0,2,0,0
3º ESO,15 años,Masculino,6,7,1,0,1,4,1,4,3,4,4,6,3,2.0,1,0,1
3º ESO,14 años,Femenino,6,10,0,0,0,2,0,3,2,1,1,3,0,2.0,1,0,0
3º ESO,15 años,Masculino,9,10,0,0,1,3,2,3,4,2,0,3,1,2.0,0,0,0
3º ESO,15 años,Femenino,7,8,0,0,0,3,2,3,0,0,0,0,0,0.0,0,0,0
3º ESO,14 años,Otro,9,9,0,0,0,0,0,1,2,1,0,0,0,0.0,0,0,0
3º ESO,15 años,Femenino,8,10,0,0,1,5,2,5,6,3,0,5,1,5.0,0,0,0
3º ESO,14 años,Masculino,10,9,0,0,1,5,1,2,2,9,3,5,4,4.0,3,1,3
3º ESO,14 años,Masculino,9,3,0,1,1,2,1,1,2,1,4,1,0,3.0,1,0,1
3º ESO,14 años,Femenino,3,2,0,0,0,4,0,2,2,1,1,1,1,2.0,3,2,4
3º ESO,15 años,Masculino,9,1,0,0,0,3,0,0,5,6,0,0,0,0.0,3,1,2
3º ESO,14 años,Femenino,4,6,0,0,1,1,1,3,5,6,1,4,1,4.0,3,2,1
3º ESO,15 años,Masculino,9,7,0,0,1,5,2,5,2,4,1,6,1,4.0,1,1,2
3º ESO,15 años,Femenino,10,10,0,0,0,4,1,3,2,3,0,0,1,3.0,1,0,1
3º ESO,14 años,Femenino,4,5,0,0,0,1,0,0,3,1,1,0,1,1.0,1,1,4
3º ESO,15 años,Otro,8,8,0,0,0,5,1,3,3,0,0,0,0,0.0,1,0,2
3º ESO,15 años,Masculino,7,7,1,0,1,5,1,5,5,5,2,7,2,1.0,1,1,1
3º ESO,15 años,Femenino,10,10,0,0,1,1,0,3,2,2,1,7,1,4.0,0,0,0
3º ESO,14 años,Femenino,10,10,1,0,1,1,0,3,2,2,1,7,1,4.0,0,0,0
3º ESO,15 años,Otro,10,10,1,0,1,4,1,5,3,4,1,3,1,4.0,2,0,1
3º ESO,15 años,Masculino,10,10,0,0,1,3,0,1,2,1,2,1,2,5.0,1,0,0
3º ESO,14 años,Masculino,10,10,0,1,1,5,1,5,6,9,2,9,0,9.0,1,0,2
3º ESO,15 años,Femenino,8,8,1,1,1,5,0,1,6,2,0,0,0,0.0,0,0,0
4º ESO,16 años,Masculino,2,3,0,0,0,0,1,0,1,0,0,0,0,3.0,5,1,3
4º ESO,16 años,Femenino,7,8,0,0,0,1,0,3,5,1,0,3,0,4.0,0,0,0
4º ESO,16 años,Masculino,10,8,1,0,0,2,1,1,4,1,1,2,3,6.0,3,2,1
4º ESO,17 años,Femenino,8,10,0,0,1,1,1,3,2,3,1,2,3,3.0,0,0,0
4º ESO,16 años,Femenino,7,7,0,0,0,1,0,1,3,0,0,0,0,0.0,0,0,0
4º ESO,17 años,Femenino,5,8,0,0,0,3,1,2,4,1,2,2,0,0.0,0,0,0
4º ESO,16 años,Masculino,10,10,0,0,1,1,1,2,2,3,1,0,0,0.0,0,0,0
4º ESO,16 años,Masculino,9,10,0,0,0,1,0,0,2,0,0,0,1,0.0,0,0,0
4º ESO,17 años,Masculino,9,9,0,0,0,2,1,1,0,0,0,0,0,2.0,0,0,0
4º ESO,15 años,Otro,1,10,0,0,0,4,0,1,4,0,1,0,1,2.0,2,1,3
4º ESO,17 años,Femenino,9,10,0,0,1,4,0,5,4,0,0,2,1,4.0,0,0,1
4º ESO,16 años,Masculino,1,10,0,0,1,4,0,4,5,0,0,2,1,4.0,2,1,1
4º ESO,15 años,Femenino,6,6,0,0,0,3,1,5,6,0,0,7,1,5.0,3,1,1
4º ESO,17 años,Femenino,7,7,0,0,0,4,0,5,5,2,3,4,4,4.0,3,0,2
4º ESO,16 años,Masculino,6,7,0,0,0,4,0,5,3,1,5,4,4,5.0,4,2,3
2º ESO,14 años,Masculino,3,1,0,0,1,5,2,5,6,7,1,7,0,4.0,4,4,4
3º ESO,15 años,Masculino,9,9,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0
3º ESO,16 años,Femenino,5,7,0,1,1,4,2,5,6,13,0,7,0,8.0,4,4,4
3º ESO,15 años,Masculino,10,10,0,0,0,3,2,4,4,0,1,0,0,0.0,1,0,0
3º ESO,14 años,Masculino,5,5,0,0,0,1,1,5,3,1,0,0,0,0.0,0,0,0
3º ESO,14 años,Masculino,8,8,0,0,0,0,0,0,2,0,0,1,0,0.0,0,0,0
3º ESO,15 años,Femenino,3,7,0,0,0,1,1,0,2,0,1,0,1,2.0,4,2,2
3º ESO,14 años,Femenino,8,8,0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0
3º ESO,14 años,Femenino,9,9,0,0,1,2,0,1,3,0,0,1,0,4.0,0,0,0
3º ESO,15 años,Masculino,7,6,0,1,1,2,0,2,4,1,6,5,2,3.0,1,0,1
3º ESO,14 años,Masculino,9,10,0,1,1,4,0,2,4,1,6,5,3,4.0,1,0,1
3º ESO,15 años,Femenino,8,8,0,0,0,0,0,1,3,0,0,0,0,1.0,3,2,1
3º ESO,15 años,Femenino,3,5,0,0,0,0,2,1,5,0,0,0,0,3.0,5,2,2
3º ESO,14 años,Femenino,3,9,0,0,0,0,0,0,3,0,1,0,2,1.0,0,0,0
3º ESO,15 años,Masculino,8,5,0,0,0,1,1,4,2,2,3,2,0,1.0,0,0,1
4º ESO,15 años,Femenino,2,3,0,1,1,4,2,5,6,7,1,4,0,4.0,5,2,5
4º ESO,17 años,Masculino,5,5,0,0,0,3,0,0,0,0,0,0,0,0.0,0,0,0
1º ESO,13 años,Masculino,7,8,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1
4º ESO,15 años,Femenino,9,7,0,0,0,0,1,5,4,1,0,0,2,3.0,0,0,0
4º ESO,16 años,Masculino,9,9,0,0,0,0,0,2,3,1,0,0,2,3.0,1,0,0
4º ESO,16 años,Femenino,4,9,0,0,1,1,1,3,3,1,1,4,1,5.0,0,0,0
1º ESO,12 años,Masculino,9,9,0,0,0,1,2,3,2,1,1,0,1,0.0,0,0,0
4º ESO,15 años,Masculino,3,8,0,0,1,3,1,3,0,2,0,5,0,3.0,2,1,1
1º ESO,13 años,Femenino,9,9,0,0,0,1,0,0,2,0,0,0,0,1.0,0,0,0
4º ESO,15 años,Femenino,9,2,0,0,0,1,0,3,2,0,1,3,3,4.0,2,2,4
1º ESO,12 años,Masculino,7,10,0,0,0,1,0,0,1,0,2,0,2,3.0,1,0,0
1º ESO,13 años,Femenino,2,7,0,0,0,0,0,0,2,1,0,0,0,1.0,4,3,5
1º ESO,13 años,Masculino,9,9,0,0,1,1,1,2,5,4,2,2,1,3.0,2,0,1
1º ESO,12 años,Femenino,5,5,0,0,1,2,1,2,4,0,1,4,1,4.0,0,1,2
1º ESO,12 años,Masculino,4,6,0,0,1,4,2,5,5,2,2,7,5,3.0,4,4,4
4º ESO,16 años,Masculino,8,10,1,0,0,1,0,3,4,1,1,2,1,3.0,2,3,3
1º ESO,14 años,Masculino,5,1,0,0,0,3,2,2,3,3,1,3,2,5.0,1,3,3
2º ESO,14 años,Femenino,10,10,0,0,0,2,2,3,2,1,1,1,1,1.0,0,0,0
3º ESO,15 años,Femenino,5,7,0,0,0,0,1,1,4,1,2,1,1,4.0,2,2,2
3º ESO,14 años,Masculino,9,8,0,0,0,0,0,1,2,3,0,0,0,0.0,0,0,0
3º ESO,15 años,Femenino,3,10,0,0,0,0,0,0,0,1,1,1,0,3.0,2,0,0
3º ESO,15 años,Masculino,6,6,0,0,0,1,0,1,0,2,0,2,0,0.0,0,0,0
3º ESO,14 años,Masculino,10,10,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0,0
3º ESO,15 años,Masculino,8,8,0,0,1,1,0,1,0,1,0,0,0,3.0,0,0,0
3º ESO,15 años,Femenino,2,9,0,0,0,2,0,3,0,2,1,3,0,3.0,1,0,1
2º ESO,14 años,Masculino,9,9,0,0,1,4,1,2,4,1,0,1,1,4.0,0,0,0
2º ESO,14 años,Masculino,6,9,0,0,0,3,2,5,6,4,1,2,0,9.0,2,0,0
2º ESO,14 años,Masculino,9,6,0,0,0,5,2,4,6,4,4,6,3,7.0,3,0,0
2º ESO,14 años,Femenino,1,9,0,0,0,3,1,4,2,4,1,1,0,3.0,3,1,1
2º ESO,13 años,Masculino,7,9,0,0,0,3,2,2,4,2,1,4,3,3.0,2,0,0
2º ESO,13 años,Masculino,9,9,0,1,1,4,0,4,5,2,4,4,3,8.0,2,3,3
2º ESO,13 años,Masculino,8,8,0,0,0,3,0,1,4,0,0,0,0,1.0,0,0,0
2º ESO,14 años,Masculino,9,8,0,0,1,5,1,2,6,3,1,2,2,4.0,1,0,0
3º ESO,14 años,Masculino,10,10,0,0,0,1,0,0,0,4,0,0,1,3.0,0,0,0
2º ESO,15 años,Otro,5,6,0,0,1,4,0,0,0,0,0,1,0,1.0,2,0,0
3º ESO,14 años,Femenino,8,9,0,0,0,1,1,4,1,2,0,0,1,4.0,0,0,0
3º ESO,14 años,Masculino,9,9,0,0,0,2,0,1,0,3,1,1,1,2.0,0,0,0
3º ESO,15 años,Masculino,7,8,0,0,1,4,1,4,3,3,1,2,1,4.0,0,0,0
3º ESO,15 años,Masculino,9,9,0,0,0,1,0,0,2,3,2,1,2,3.0,0,0,0
2º ESO,13 años,Masculino,6,7,1,0,0,3,2,5,4,7,4,4,4,5.0,4,2,2
2º ESO,14 años,Masculino,8,3,0,0,0,2,1,1,2,5,1,1,2,0.0,5,4,4
3º ESO,15 años,Masculino,9,8,1,0,0,5,0,3,3,1,2,3,2,3.0,1,0,0
3º ESO,14 años,Masculino,2,2,1,0,0,0,1,2,4,8,5,5,4,6.0,2,3,3
3º ESO,14 años,Masculino,10,7,0,0,0,3,0,3,2,3,2,4,1,0.0,1,0,0
3º ESO,16 años,Masculino,9,7,1,0,1,5,0,3,3,6,3,3,4,2.0,1,2,2
3º ESO,14 años,Otro,9,9,0,0,0,0,0,0,0,0,0,0,1,0.0,6,4,5
3º ESO,15 años,Femenino,10,10,0,0,0,5,2,5,0,8,0,0,0,0.0,0,0,0
3º ESO,15 años,Masculino,10,10,0,0,1,3,0,1,2,1,2,1,2,5.0,1,0,0
4º ESO,16 años,Masculino,10,10,0,0,0,5,0,4,5,5,0,0,3,1.0,0,0,0
1º ESO,12 años,Femenino,7,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
1º ESO,12 años,Masculino,8,5,0,0,0,1,2,1,4,0,0,0,0,0.0,0,0,0
4º ESO,15 años,Femenino,10,10,0,0,0,0,0,0,0,0,1,0,0,1.0,0,0,0
4º ESO,16 años,Femenino,7,7,0,0,0,2,0,2,2,0,0,0,0,0.0,1,0,0
4º ESO,16 años,Masculino,4,8,0,0,0,5,0,3,3,1,1,2,0,3.0,1,0,3
4º ESO,15 años,Masculino,4,9,0,0,0,1,0,0,0,0,1,0,0,0.0,0,0,1
4º ESO,15 años,Masculino,5,6,0,0,0,1,0,2,1,0,2,0,1,3.0,0,0,0
1º ESO,13 años,Masculino,10,10,1,0,1,1,1,3,5,1,4,4,6,5.0,4,1,2
4º ESO,16 años,Femenino,8,9,0,0,0,1,0,1,1,0,0,0,1,2.0,0,0,0
4º ESO,15 años,Masculino,10,10,0,0,0,2,0,4,4,4,2,1,0,2.0,0,0,0
4º ESO,16 años,Masculino,9,10,1,0,0,1,0,2,2,1,0,0,1,0.0,0,0,0
4º ESO,17 años,Masculino,8,9,1,1,0,6,1,5,3,13,0,4,0,5.0,2,0,1
4º ESO,15 años,Masculino,7,8,0,0,0,1,0,3,1,1,0,2,1,2.0,0,0,0
1º ESO,12 años,Masculino,10,10,0,0,0,1,0,0,2,0,0,0,0,0.0,0,0,0
1º ESO,13 años,Femenino,8,8,0,0,0,1,1,1,3,2,0,3,1,4.0,0,1,0
1º ESO,13 años,Masculino,8,10,1,1,0,5,2,4,5,4,2,5,2,5.0,3,3,1
3º ESO,14 años,Masculino,10,8,1,0,0,1,0,0,2,0,0,0,0,0.0,0,0,0
3º ESO,14 años,Masculino,8,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3º ESO,15 años,Masculino,8,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3º ESO,15 años,Masculino,10,10,0,0,0,6,0,0,5,0,0,4,0,0.0,0,0,0
2º ESO,13 años,Masculino,6,5,1,0,0,6,1,5,6,13,8,5,6,4.0,5,1,3
3º ESO,15 años,Masculino,9,10,1,0,0,5,0,3,4,0,2,0,0,0.0,0,0,0
3º ESO,14 años,Masculino,8,8,0,0,0,4,0,3,1,0,0,0,0,0.0,0,0,0
3º ESO,16 años,Femenino,10,10,0,0,0,1,0,0,0,0,0,0,1,2.0,1,0,0
2º ESO,15 años,Masculino,9,9,0,0,0,1,1,0,1,2,0,0,0,0.0,0,0,0
3º ESO,15 años,Femenino,4,8,0,0,1,0,0,1,2,1,0,1,0,3.0,1,1,3
2º ESO,13 años,Masculino,6,7,0,0,1,5,2,4,5,0,2,8,1,3.0,2,2,1
3º ESO,14 años,Femenino,9,9,0,0,0,1,0,0,2,5,1,1,1,3.0,0,1,0
